"cod_cent";"id";"nombre";"tipo_elem";"x";"y"
"14NC96PM01";7145;"14NC96PM01";"M30";439706,236810844;4472101,80761146
"18NC52PM02";1015;"18NC52PM02";"M30";438763,057485397;4474679,05976765
"14NL24PM01";6868;"14NL24PM01";"M30";440397,529665019;4471731,01213245
"15RE04PM01";6857;"15RE04PM01";"M30";439682,137761499;4472172,91329702
"15RH53PM01";1033;"15RH53PM01";"M30";439362,304121444;4472280,29071032
"15RM08PM01";6848;"15RM08PM01";"M30";439107,194923098;4472320,71468789
"15RM58PM01";6855;"15RM58PM01";"M30";439477,83990918;4472136,49943351
"18NC80PM01";1017;"18NC80PM01";"M30";438455,20070354;4474879,16722579
"18RC06PM01";6833;"18RC06PM01";"M30";438783,998470808;4474322,55292567
"19XC80PM01";7122;"19XC80PM01";"M30";437721,448955436;4475377,51343407
"90EL00PM01";6880;"90EL00PM01";"M30";441362,60396913;4470999,8903653
"90EL16PM01";6881;"90EL16PM01";"M30";441406,625471969;4470883,44172609
"PM10728";3489;"PM10728";"M30";444052,254168798;4474762,05676911
"PM30754";6667;"PM30754";"M30";443529,511073818;4474619,33931671
"90EL38PM01";6882;"90EL38PM01";"M30";441589,103533078;4470568,88791522
"PM41351";3704;"PM41351";"M30";441058,411318426;4468963,84138835
"PM41451";3705;"PM41451";"M30";439746,454030432;4471365,29510394
"PM40001";6639;"PM40001";"M30";443088,625858808;4482547,30174722
"PM10344";6653;"PM10344";"M30";443734,688968653;4478411,62367061
"PM10901";3816;"PM10901";"M30";443542,028376997;4473095,03904537
"PM10902";6670;"PM10902";"M30";443517,00207133;4473094,19846419
"PM10907";6671;"PM10907";"M30";443550,078766873;4473087,48599237
"PM10941";6672;"PM10941";"M30";443464,125183128;4472893,53272111
"PM20442";6728;"PM20442";"M30";443972,810881435;4477444,53060104
"PM23011";6772;"PM23011";"M30";440876,807208301;4481791,522418
"PM10942";6673;"PM10942";"M30";443445,343038815;4472895,87310402
"PM20777";6741;"PM20777";"M30";444184,654530267;4474239,36694661
"PM20778";10267;"PM20778";"M30";444183,613536288;4474247,64041096
"PM41196";6762;"PM41196";"M30";442026,333611941;4470533,55967815
"PM41192";10268;"PM41192";"M30";442021,566875819;4470537,77866659
"PM10211";6646;"PM10211";"M30";443332,954939567;4479745,87008936
"PM10448";10264;"PM10448";"M30";443868,471584562;4477418,0262006
"18XC11PM01";6838;"18XC11PM01";"M30";438670,401063619;4474256,33429914
"PM12342";6813;"PM12342";"M30";436868,652368812;4478842,87885169
"PM12391";6695;"PM12391";"M30";436717,520415261;4479250,1210353
"PM13212";7130;"PM13212";"M30";442795,211481003;4481634,48879947
"PM13221";7013;"PM13221";"M30";443008,25226994;4481803,18158234
"PM13222";7014;"PM13222";"M30";443015,212979909;4481802,10519696
"PM30001";3521;"PM30001";"M30";443156,142448223;4482615,35858334
"PM30002";6712;"PM30002";"M30";443164,353106208;4482609,17555251
"PM20021";6713;"PM20021";"M30";442904,820093264;4481464,08739179
"PM10861";3491;"PM10861";"M30";443761,33842761;4473612,06275709
"PM13014";6705;"PM13014";"M30";440846,783919142;4481751,68796434
"PM10342";6651;"PM10342";"M30";443722,39634797;4478406,47529697
"PM20912";6750;"PM20912";"M30";443639,531939685;4473183,80225213
"PM20026";3822;"PM20026";"M30";442913,469786535;4481463,11997807
"PM20151";6715;"PM20151";"M30";443068,9564636;4480250,05312952
"PM20152";6716;"PM20152";"M30";443088,541285026;4480262,46625128
"15RR60PM02";6861;"15RR60PM02";"M30";439563,446514711;4472421,13620066
"05FT66PM01";1003;"05FT66PM01";"M30";436630,102140068;4473180,04984782
"05TL00PM01";6904;"05TL00PM01";"M30";444978,113804094;4472393,81511846
"15RR41PM01";6864;"15RR41PM01";"M30";439633,748857199;4472226,11781682
"16RC01PM01";1040;"16RC01PM01";"M30";438617,98845082;4472881,06222451
"PM21192";6761;"PM21192";"M30";441992,976691124;4470559,66355043
"PM21236";6764;"PM21236";"M30";441602,665017743;4470342,32930235
"PM22082";6948;"PM22082";"M30";437371,468473823;4476209,36273853
"PM22121";6766;"PM22121";"M30";437393,387464312;4476708,38456751
