zone;int;intmax;%;x;y;name
17;90;1300;6,92;440665,489905524;4466792,78784545;(TACTICO)ALCOCER O-E (GIRO VIRGEN DESAMPARADOS)
17;0;1500;0,00;440528,041153022;4466714,30602767;Pº DE TALLERES ENTRE ARROYO BUENO Y ALCOCER  O-E
17;194;1500;12,93;440495,052879511;4466801,45574622;(AFOROS)ALCOCER O-E(COL. LITOS-PSO. TALLERES)
17;55;1500;3,67;441129,969667299;4468109,73380196;(TACTICO) UNANIMIDAD E-O
17;166;1500;11,07;441088,913774476;4468053,66281379;(TACTICO) AV. VERBENA PALOMA O-E
17;997;5400;18,46;441076,136568388;4468373,88126318;AV. ANDALUCIA N-S(M40-UNANIMIDAD)
17;1080;7200;15,00;441108,767384381;4468188,05247941;AV. ANDALUCIA S-N(UNANIMIDAD-M40)
17;632;3000;21,07;441252,940602286;4468452,87597989;ACC. M40 A AV.ANDALUCIA E-O
17;914;3000;30,47;440963,838374234;4468425,68407409;ACC. M40 A AV.ANDALUCIA O-E
17;1578;7200;21,92;441071,908857113;4468769,88825363;AV. ANDALUCIA S-N(CONIFERAS-AV.ROSALES)
56;1883;5400;34,87;441053,757381121;4468846,53043271;AV. ANDALUCIA N-S(AV.ROSALES-CONIFERAS)
56;46;3000;1,53;441022,002868574;4468940,95481982;AV.ROSALES E-O(AV.ANDALUCIA-EDUARDO BARREIROS)
17;83;3000;2,77;441017,676412744;4468043,31305704;AV. VERBENA PALOMA O-E (PAN Y TOROS-AV. ANDALUCIA)
56;1689;7200;23,46;441061,700817064;4468950,45402688;AV.ANDALUCIA S-N(AV.ROSALES-AV.POBLADOS)
56;1302;5400;24,11;441035,584824288;4469083,22190818;AV.ANDALUCIA N-S(AV.POBLADOS-AV.ROSALES)
56;1440;5400;26,67;441014,057736677;4469320,79679422;AV.ANDALUCIA N-S(GTA.MALAGA-AV.POBLADOS)
17;194;3000;6,47;440966,351936508;4468726,22130603;CONIFERAS O-E (ALARCE-AV.ANDALUCIA)
17;360;4500;8,00;441130,895808555;4468427,5546679;AV. ANDALUCIA INTERIOR CRUCE M40  S-N
17;415;1500;27,67;441216,543877529;4467059,97155031;CTRA. VALLECAS E-O (SAHARA-AV.ANDALUCIA)
17;45;3000;1,50;441539,164834921;4467251,62509507;DIAMANTE S-N(SELMA LAGERLOFF-CTRA. VILLAVERDE)
17;45;1800;2,50;441546,380106123;4467359,49030335;CRA.VILLAVERD E-O(COALICION-VILLAFUERTE)
17;180;1800;10,00;441453,684403927;4467370,20156208;VILLAFUERTE N-S(VILLAJOYOSA-CTRA.VILLAVERDE)
17;135;3000;4,50;441394,500284137;4467200,14891231;CTRA.VILLAVERDE O-E(S.MACARIO-MARTINEZ OVIOL)
56;222;3000;7,40;441219,312462871;4468842,34325394;AV. ROSALES ENTRE ANTEQUERA Y AV.ANDALUCIA
17;28;1500;1,87;441211,644338298;4466834,29602243;(TACTICO) SALIDA INTERCAMBIADOR AUTOBUSES
17;160;1500;10,67;440982,170046404;4467557,45768245;BOHEMIOS E-O(AV. ANDALUCIA-VERBENA PALOMA)
17;40;1500;2,67;440869,731491769;4467548,55596742;BOHEMIOS O-E(MANOJO ROSAS-ALEGRIA HUERTA)
17;240;1500;16,00;440860,939049423;4467552,41651884;BOHEMIOS E-O(VERBENA PALOMA-MANOJO ROSAS)
17;120;1500;8,00;440806,97627348;4467572,37291261;MANOJO ROSA N-S(SOTO PARRAL-BOHEMIOS)
56;28;1500;1,87;441014,950149748;4469147,98849152;(MICRO)AV. POBLADOS E-O(DETRÁS GR-9 PM1)
56;332;1500;22,13;441022,193875536;4469137,71354225;(MICRO)AV. POBLADOS E-O(DELANTE GR-11 PM2)
17;180;1500;12,00;440272,754652446;4466858,45465867;ALCOCER E-O(LAGUNA SANTIAGO-EDUARDO BARREIROS)
17;90;1500;6,00;440177,913286808;4466754,02992766;SAN JENARO S-N(ARROYO BUENO-ALCOCER)
17;315;3000;10,50;439999,634124171;4466903,24471986;CTRA. CCHEL. VILLAVERDE N-S(LAGUNA RODRIGO-VILLALONSO)
17;90;1500;6,00;440029,71958168;4466684,0552859;AV. REAL PINTO S-N(PLATA-ARROYO BUENO)
17;45;1500;3,00;439955,782319097;4466394,8510958;DR. MARTIN AREVALO O-E(ALBINO HDEZ. LAZARO-AV. REAL PINTO)
17;225;1500;15,00;439979,220465055;4466278,23243285;AV. REAL PINTO S-N(SALSIPUEDES-DR. MARTIN AREVALO)
